MCC,MNC,destination,network_name,op,bulletin no.
432,08,Iran (Islamic Republic of) ,Shatel Mobile,ADD,1139
432,50,Iran (Islamic Republic of) ,Arya Resaneh Tadbir (Shatel),ADD,1139
293,20,Slovenia ,Compatel Limited,ADD,1139
238,42,Denmark ,Brandtel ApS,SUP,1140
238,42,Denmark ,Greenwave Mobile IoT ApS,ADD,1140
639,01,Kenya ,Safaricom Limited,ADD,1140
639,04,Kenya ,Mobile Pay Kenya Limited,ADD,1140
639,05,Kenya ,Airtel Networks Kenya Ltd,ADD,1140
639,06,Kenya ,Finserve Africa Limited,ADD,1140
639,07,Kenya ,Telkom Kenya Limited,ADD,1140
639,08,Kenya ,Sema Mobile Services Limited,ADD,1140
639,09,Kenya ,Homeland Media Group Limited,ADD,1140
639,10,Kenya ,Jamii Telecommunications Limited,ADD,1140
639,11,Kenya ,WiAfrica Kenya Limited,ADD,1140
639,03,Kenya ,Airtel Networks Kenya Ltd,LIR,1140
610,02,Mali ,Orange Mali Sa,ADD,1140
610,03,Mali ,ATEL-SA,ADD,1140
228,59,Switzerland ,Mundio Mobile Limited,SUP,1140
505,43,Australia ,Arrow Energy Pty Ltd,ADD,1141
302,420,Canada ,A.B.C. Allen Business Communications Ltd.,ADD,1141
206,00,Belgium ,Proximus,SUP,1142
206,08,Belgium ,Nethys,ADD,1142
206,25,Belgium ,Voyacom,ADD,1142
206,28,Belgium ,BICS,ADD,1142
206,30,Belgium ,Unleashed,ADD,1142
206,33,Belgium ,Ericsson *test use only*,ADD,1142
206,50,Belgium ,IP Nexia,ADD,1142
206,05,Belgium ,Telenet,LIR,1142
206,10,Belgium ,Orange Belgium,LIR,1142
206,20,Belgium ,Telenet Group,LIR,1142
302,491,Canada ,Freedom Mobile Inc.,ADD,1142
425,29,Israel ,CG Networks,ADD,1142
238,17,Denmark ,Naka AG,SUP,1143
212,10,Monaco ,Monaco Telecom,ADD,1143
440,07,Japan ,"LTE-X, Inc.",ADD,1144
505,44,Australia ,ROY HILL IRON ORE PTY LTD,ADD,1145
619,07,Sierra Leone ,QCELL SIERRA LEONE,ADD,1145
730,22,Chile ,CELLPLUS SPA,ADD,1146
730,23,Chile ,CLARO SERVICIOS EMPRESARIALES S.A.,ADD,1146
208,12,France ,Hewlett-Packard France,SUP,1146
208,18,France ,Voxbone,SUP,1146
208,23,France ,Omea Telecom,SUP,1146
208,29,France ,Cubic Telecom France,SUP,1146
208,90,France ,Images & Réseaux,SUP,1146
208,92,France ,Plate-forme telecom,SUP,1146
208,19,France ,Altitude Infrastructure,ADD,1146
208,32,France ,Orange,ADD,1146
208,86,France ,Nomotech,ADD,1146
208,87,France ,Régie Autonome des Transports Parisiens,ADD,1146
208,89,France ,Fondation b-com,ADD,1146
208,93,France ,Thales communications & Security,ADD,1146
208,95,France ,Orange,ADD,1146
208,96,France ,Axione,ADD,1146
208,97,France ,Thales communications & Security,ADD,1146
208,98,France ,Société Air France,ADD,1146
208,08,France ,Société Française du Radiotéléphone,LIR,1146
208,09,France ,Société Française du Radiotéléphone,LIR,1146
208,11,France ,Société Française du Radiotéléphone,LIR,1146
208,13,France ,Société Française du Radiotéléphone,LIR,1146
208,27,France ,Coriolis Telecom,LIR,1146
208,30,France ,Syma Mobile,LIR,1146
208,31,France ,Vectone Mobile,LIR,1146
647,03,in the Indian Ocean ,Telco OI,ADD,1146
647,04,in the Indian Ocean ,Zeop Mobile,ADD,1146
647,00,in the Indian Ocean ,Orange,LIR,1146
340,09,Guadeloupe ,Free Caraïbe,ADD,1146
340,20,Guadeloupe ,Digicel Antilles Françaises Guyane,LIR,1146
268,12,Portugal ,"Infraestruturas de Portugal, S.A.",LIR,1146
655,05,South Africa ,Telkom SA Ltd,ADD,1147
655,75,South Africa ,Airport Company South Africa (ACSA),ADD,1147
901,59,"International Mobile, shared code",MessageBird B.V.,ADD,1147
901,60,"International Mobile, shared code",OneWeb,ADD,1147
248,11,Estonia ,UAB Raystorm Eesti filiaal,ADD,1148
414,20,Myanmar ,"Amara Communication Co.,Ltd",ADD,1149
414,21,Myanmar ,"Amara Communication Co.,Ltd",ADD,1149
282,10,Georgia ,Premium Net International SRL LTD,ADD,1150
214,37,Spain ,"VODAFONE ESPAÑA, S.A.U.",ADD,1151
228,10,Switzerland ,Stadt Polizei Zürich,ADD,1152
228,60,Switzerland ,Sunrise Communications AG,ADD,1152
238,07,Denmark ,Mundio Mobile (Denmark) Limited,SUP,1153
238,05,Denmark ,Dansk Beredskabskommunikation,ADD,1153
238,09,Denmark ,Dansk Beredskabskommunikation,ADD,1153
238,23,Denmark ,Banedanmark,ADD,1153
238,01,Denmark ,TDC A/S,LIR,1153
238,02,Denmark ,Telenor,LIR,1153
238,03,Denmark ,Syniverse Technologies,LIR,1153
238,08,Denmark ,Voxbone,LIR,1153
238,10,Denmark ,TDC A/S,LIR,1153
238,11,Denmark ,Dansk Beredskabskommunikation,LIR,1153
238,12,Denmark ,Lycamobile Denmark Ltd.,LIR,1153
238,28,Denmark ,LINK Mobility A/S,LIR,1153
238,77,Denmark ,Telenor,LIR,1153
437,03,Kyrgyzstan ,7 Mobile,ADD,1153
437,05,Kyrgyzstan ,Alfa Telecom,ADD,1153
437,06,Kyrgyzstan ,Kyrgyztelecom,ADD,1153
437,09,Kyrgyzstan ,Nur Telecom,ADD,1153
